ClassID,StudentID,KumonGradeLevel,LineNumber,AssignDate,AssignNumber,Location,WkFrom,WkTo,WkTime,Wk1Score,Wk2Score,Wk3Score,Wk4Score,Wk5Score,Wk6Score,Wk7Score,Wk8Score,Wk9Score,Wk10Score,NCOR,Comments,Status
02210274,8401850850845,AI,3,02-Mar-20,1,C,48,50,,,,,,,,,,,,,,0
02210274,8401950224560,BII,7,28-Mar-20,1,H,175,177,,,,,,,,,,,,,,0
02210274,8401950021985,CI,2,30-Mar-20,1,C,41,45,,,,,,,,,,,,,,0
02210274,8401850524067,BI,1,25-Feb-20,1,C,71,74,0,100,100,80,80,0,0,0,0,0,0,0,,1
02210274,8401850524067,BI,1,16-Feb-20,1,H,31,35,14,100,100,100,100,80,0,0,0,0,0,0,,1
02210274,8401950123689,CI,1,20-Feb-20,1,H,86,90,30,0,0,0,0,0,100,90,100,100,100,0,,1
02210274,8401950443312,CI,3,29-Feb-20,1,H,121,125,12,100,100,100,80,69,0,0,0,0,0,0,,1
02210274,8402050085709,BI,1,13-Mar-20,1,H,31,40,,,,,,,,,,,,,,0
02210274,8402050085815,AI,1,02-Apr-20,1,C,141,150,,,,,,,,,,,,,,0
02210274,8401950306778,AI,3,03-Mar-20,1,H,91,95,0,100,70,80,70,69,0,0,0,0,0,0,,1
02210274,8401950873614,BI,4,07-Mar-20,1,H,185,187,20,0,0,0,0,80,100,100,0,0,0,0,,1
02210274,8401950224560,BII,5,26-Feb-20,1,H,135,137,33,0,0,0,0,69,70,80,0,0,0,0,,1
02210274,8401750488070,BI,1,26-Mar-20,1,H,61,65,,,,,,,,,,,,,,0
02210274,8401950620607,AI,4,12-Apr-20,1,H,71,75,,,,,,,,,,,,,,0
02210274,8401851064210,BI,1,27-Feb-20,1,H,146,150,26,0,0,0,0,0,100,80,69,100,69,0,,1
02210274,8401851064210,BII,2,06-Apr-20,1,H,76,80,,,,,,,,,,,,,,0
02210274,8401851017957,AI,11,29-Mar-20,1,H,11,15,,,,,,,,,,,,,,0
02210274,8401950873614,BI,4,20-Feb-20,1,C,131,134,18,100,100,100,100,0,0,0,0,0,0,0,,1
02210274,8401950734984,AI,5,02-Mar-20,1,C,121,125,19,100,100,100,100,100,0,0,0,0,0,0,stephanie: her reading was fluent. and independent,1
02210274,8401950022036,AII,10,18-Feb-20,1,C,156,160,14,0,0,0,0,0,100,100,100,100,100,1,stephanie:his reading was fluent. he had trouble with some words. work ata quick pace.,1
02210274,8401950620492,AII,1,24-Feb-20,1,C,46,50,15,0,0,0,0,0,80,100,100,100,100,0,CB: he read everything outloud. a little difficulty with sarah because she was also doing reading. i,1
02210274,8401750219414,AII,3,05-Mar-20,1,C,16,20,14,0,0,0,0,0,80,100,100,100,100,0,CB: read everything outloud. sometimes she guesses on the words. stayed focused. spelling is getting,1
02210274,8401750219414,AII,4,12-Mar-20,1,C,31,35,28,100,100,100,100,100,0,0,0,0,0,0,SAMILA: needed help with bigger words in the story. after cw- we did flashcards.,1
02210274,8401950873539,BII,1,02-Mar-20,1,C,116,120,7,0,0,0,0,0,100,100,100,100,100,0,,1
02210274,8401950873614,BI,3,17-Feb-20,1,H,171,174,0,100,100,100,90,0,0,0,0,0,0,0,,1
02210274,8401850359942,BII,1,14-Apr-20,1,H,38,40,,,,,,,,,,,,,,0
02210274,8401950306778,AII,1,02-Apr-20,1,H,21,25,,,,,,,,,,,,,,2
